,en,ru,de,ua
settings.tabs.general,General,Главное,Hauptsache,Загальне
settings.tabs.niko,Niko,Нико,Nico,Ніко
settings.tabs.other,Other,Другое,Andere,Інше
settings.sections.actions,Actions,Действия,Handeln,Дії
settings.sections.statistics,Statistics,Статистика,Statistik,Статистика
settings.sections.hint,Hint,Подсказка,Hinweis,Підказка
settings.sections.niko,Niko,Нико,Nico,Ніко
settings.sections.sleeping,Sleeping,Сон,Chlafen,Сон
settings.sections.volume,Volume,Громкость,,Гучність
settings.sections.windows_only,Windows Only,Только для Windows,,Тільки для Windows
settings.general.gaming_mode,Gaming mode,Игровой режим,Spielmodus,Ігровий режим
settings.general.peaceful_mode,Peaceful mode,Мирный режим,Friedliches Regime,Мирний режим
settings.general.language,Language,Язык,Sprache,Мова
settings.general.click_sound,Click sound,Звук клика,Klickgeräusch,Звук кліка
settings.general.show_saving_icon,Saving icon,Значок сохранения,Symbol speichern,Значок збереження
settings.general.show_achievements,Show achievements,Отображать достижения,Erfolge anzeigen,Показувати досягнення
settings.general.actions.open_logs_folder,Open logs folder,Открыть папку логов,Log-Ordner öffnen,Відкрити папку логів
settings.general.actions.add_to_autorun,Add to autorun,Добавить в автозагрузку,Zum Autostart hinzufügen,Додати в автозавантаження
settings.general.actions.remove_from_autorun,Remove from autorun,Удалить из автозагрузки,Aus dem Autostart entfernen,Видалити з автозавантаження
settings.general.actions.add_to_autorun.windows_only,Autorun only for Windows,Автозагрузка только для Windows,Autostart nur für Windows,Автозавантаження тільки для Windows
settings.general.statistics.clicks_per_second,CPS,CPS,CPS,CPS
settings.general.statistics.clicks,Clicks,Клики,Cliquen,Кліки
settings.general.statistics.events_passed,Events passed,Событий пройдено,,Подій пройдено
settings.general.statistics.total_time,Total time,Время работы,Betriebsdauer,Загальний час
settings.general.hint.gaming_mode,"Completely disables interaction with Niko.\n[color=gold]ATTENTION[/color]\nIn order to restore the state back, use system tray icon or, as a last resort, completely restart the application.","Полностью отключает взаимодействие с Нико.\n[color=gold]ВНИМАНИЕ[/color]\nДля того чтобы вернуть состояние обратно используйте значок в системном трее или в крайнем случае полностью перезапустите приложение.","Deaktiviert die Interaktion mit Nico vollständig.\n[color=gold]ACHTUNG[/color]\nUm den Status wiederherzustellen, verwenden Sie das Taskleistensymbol oder starten Sie die Anwendung im Notfall vollständig neu.","Повністю вимикає взаємодію з Ніко.\n[color=gold]УВАГА[/color]\nЩоб відновити стан назад, використовуйте значок в системному лотку або, як крайній випадок, повністю перезапустіть програму."
settings.general.hint.peaceful_mode,"Niko doesn't get scared when clicks are too fast",Нико не пугается при слишком быстрых кликах,Nico hat keine Angst vor zu schnellen Klicks,Ніко не лякається при занадто швидких кліках
settings.general.hint.click_sound,"Play a click sound in windows identical to click sounds in OneShot WME","Воспроизводить звук клика в окнах, идентичный звукам клика в OneShot WME","Klickgeräusche in Fenstern wiedergeben, die mit den Klickgeräuschen in OneShot WME identisch sind","Відтворювати звук кліка у вікнах, ідентичний звукам кліка в OneShot WME"
settings.general.hint.show_saving_icon,"Show save icon, same as in OneShot WME. Saving takes place every three minutes.","Показывать значок сохранения, такой же как в OneShot WME. Сохранение происходит раз в три минуты.","Zeigt das Speichersymbol an, das dem in OneShot WME entspricht. Die Speicherung erfolgt alle drei Minuten.","Показувати значок збереження, такий як в OneShot WME. Збереження відбувається кожні три хвилини."
settings.general.hint.show_achievements,Determines whether to show achievement animation in corner of screen. Sound will still be played.,"Определяет, показывать ли анимацию получения достижения в углу экрана. Звук по-прежнему будет воспроизводиться.","Legt fest, ob die Animation des Erfolgs in der Ecke des Bildschirms angezeigt wird. Der Ton wird weiterhin abgespielt.","Визначає, чи показувати анімацію отримання досягнення в кутку екрана. Звук все ще буде відтворюватися."
settings.niko.facepic.default,Default,Обычный,Gewöhnlich,Звичайний
